"Sector","Pillar","Country","Value","Rank"
"Economy","Financing and value added","Cyprus",51.71411141,33
"Technical and Vocational Education and Training","Formation and professional training","Cyprus",56.66837003,32
"General Enabling Environment","Health and environment","Cyprus",83.29903667,21
"Higher Education","Higher education inputs","Cyprus",58.02373921,20
"Higher Education","Higher education outputs and quality","Cyprus",46.86182276,38
"Information and Communications Technology","ICT inputs","Cyprus",69.00624985,33
"Information and Communications Technology","ICT outputs","Cyprus",52.61727828,47
"Research, Development and Innovation","Innovation in production","Cyprus",28.03739745,56
"Pre-University Education","Knowledge capital","Cyprus",58.08104078,59
"Economy","Knowledge competitiveness","Cyprus",55.55650192,38
"General Enabling Environment","Political and institutional","Cyprus",73.52495026,32
"Research, Development and Innovation","Research and development","Cyprus",24.28603253,47
"Research, Development and Innovation","Social innovation","Cyprus",41.4174853,13
"General Enabling Environment","Socio-economic","Cyprus",64.35509056,37
"Economy","Economic openness","Czechia",59.49768774,13
"Pre-University Education","Educational enabling environment","Czechia",62.93193438,49
"Technical and Vocational Education and Training","Features of the labour market","Czechia",58.812026,42
"Economy","Financing and value added","Czechia",54.50939304,25
"Technical and Vocational Education and Training","Formation and professional training","Czechia",49.83691663,67
"General Enabling Environment","Health and environment","Czechia",78.49164909,39
"Higher Education","Higher education inputs","Czechia",51.17369591,38
"Higher Education","Higher education outputs and quality","Czechia",55.69851188,18
"Information and Communications Technology","ICT inputs","Czechia",69.67174255,31
"Information and Communications Technology","ICT outputs","Czechia",56.6308974,39
"Research, Development and Innovation","Innovation in production","Czechia",38.67217309,33
"Pre-University Education","Knowledge capital","Czechia",67.32993004,33
"Economy","Knowledge competitiveness","Czechia",57.90539756,32
"General Enabling Environment","Political and institutional","Czechia",78.80877609,23
"Research, Development and Innovation","Research and development","Czechia",38.97999557,25
"Research, Development and Innovation","Social innovation","Czechia",32.90346859,35
"General Enabling Environment","Socio-economic","Czechia",66.80283628,31
"Economy","Economic openness","Denmark",52.83469749,29
"Pre-University Education","Educational enabling environment","Denmark",65.70132843,38
"Technical and Vocational Education and Training","Features of the labour market","Denmark",78.89149817,5
"Economy","Financing and value added","Denmark",60.43925561,10
"Technical and Vocational Education and Training","Formation and professional training","Denmark",53.9521502,47
"General Enabling Environment","Health and environment","Denmark",85.91355086,7
"Higher Education","Higher education inputs","Denmark",64.64428363,9
"Higher Education","Higher education outputs and quality","Denmark",59.17358506,12
"Information and Communications Technology","ICT inputs","Denmark",83.80257667,6
"Information and Communications Technology","ICT outputs","Denmark",77.20284902,14
"Research, Development and Innovation","Innovation in production","Denmark",60.04998138,11
"Pre-University Education","Knowledge capital","Denmark",74.31770407,8
"Economy","Knowledge competitiveness","Denmark",64.20956632,17
"General Enabling Environment","Political and institutional","Denmark",91.88902853,7
"Research, Development and Innovation","Research and development","Denmark",58.47089528,8
"Research, Development and Innovation","Social innovation","Denmark",37.69310779,21
"General Enabling Environment","Socio-economic","Denmark",74.19963207,7
"Economy","Economic openness","Dominican Republic",36.80099675,89
"Pre-University Education","Educational enabling environment","Dominican Republic",57.93165912,73
"Technical and Vocational Education and Training","Features of the labour market","Dominican Republic",59.5099698,39
"Economy","Financing and value added","Dominican Republic",32.65046023,96
"Technical and Vocational Education and Training","Formation and professional training","Dominican Republic",36.12036974,119
"General Enabling Environment","Health and environment","Dominican Republic",70.09691931,77
"Higher Education","Higher education inputs","Dominican Republic",41.4937085,93
"Higher Education","Higher education outputs and quality","Dominican Republic",29.27271914,93
"Information and Communications Technology","ICT inputs","Dominican Republic",58.08022375,70
"Information and Communications Technology","ICT outputs","Dominican Republic",39.47174002,84
"Research, Development and Innovation","Innovation in production","Dominican Republic",32.37875223,47
"Pre-University Education","Knowledge capital","Dominican Republic",39.22717094,113
"Economy","Knowledge competitiveness","Dominican Republic",44.25927835,81
"General Enabling Environment","Political and institutional","Dominican Republic",45.3092522,77
"Research, Development and Innovation","Research and development","Dominican Republic",9.82054475,119
"Research, Development and Innovation","Social innovation","Dominican Republic",18.72043007,83
"General Enabling Environment","Socio-economic","Dominican Republic",58.10988462,69
"Economy","Economic openness","Ecuador",32.49019721,105
"Pre-University Education","Educational enabling environment","Ecuador",54.2575979,91
"Technical and Vocational Education and Training","Features of the labour market","Ecuador",43.01892788,99
"Economy","Financing and value added","Ecuador",34.54077532,89
"Technical and Vocational Education and Training","Formation and professional training","Ecuador",31.86809073,124
"General Enabling Environment","Health and environment","Ecuador",76.43984104,50
"Higher Education","Higher education inputs","Ecuador",48.25692372,52
"Higher Education","Higher education outputs and quality","Ecuador",36.75720896,73
"Information and Communications Technology","ICT inputs","Ecuador",52.56303771,85
"Information and Communications Technology","ICT outputs","Ecuador",38.87984859,87
"Research, Development and Innovation","Innovation in production","Ecuador",9.179547714,127
"Pre-University Education","Knowledge capital","Ecuador",61.60429603,51
"Economy","Knowledge competitiveness","Ecuador",33.56116648,127
"General Enabling Environment","Political and institutional","Ecuador",37.02048613,101
"Research, Development and Innovation","Research and development","Ecuador",12.48816314,105
"Research, Development and Innovation","Social innovation","Ecuador",17.02774489,94
"General Enabling Environment","Socio-economic","Ecuador",61.81810145,49
"Economy","Economic openness","Egypt",38.18022205,80
"Pre-University Education","Educational enabling environment","Egypt",50.01922215,103
"Technical and Vocational Education and Training","Features of the labour market","Egypt",51.74674095,64
"Economy","Financing and value added","Egypt",45.00964857,54
"Technical and Vocational Education and Training","Formation and professional training","Egypt",40.12213912,107
"General Enabling Environment","Health and environment","Egypt",67.00542731,92
"Higher Education","Higher education inputs","Egypt",53.22909936,28
"Higher Education","Higher education outputs and quality","Egypt",37.83789553,66
"Information and Communications Technology","ICT inputs","Egypt",57.38076085,71
"Information and Communications Technology","ICT outputs","Egypt",43.05042936,73
"Research, Development and Innovation","Innovation in production","Egypt",12.81904005,119
"Pre-University Education","Knowledge capital","Egypt",48.57387059,92
"Economy","Knowledge competitiveness","Egypt",43.85465582,84
"General Enabling Environment","Political and institutional","Egypt",46.92364164,74
"Research, Development and Innovation","Research and development","Egypt",19.02773073,66
"Research, Development and Innovation","Social innovation","Egypt",18.83062259,81
"General Enabling Environment","Socio-economic","Egypt",43.29076954,113
"Economy","Economic openness","El Salvador",36.7382465,90
"Pre-University Education","Educational enabling environment","El Salvador",57.80904475,74
"Technical and Vocational Education and Training","Features of the labour market","El Salvador",44.17355962,93
"Economy","Financing and value added","El Salvador",37.74634498,77
"Technical and Vocational Education and Training","Formation and professional training","El Salvador",50.96095124,63
"General Enabling Environment","Health and environment","El Salvador",75.12339312,59
"Higher Education","Higher education inputs","El Salvador",38.99591082,98
"Higher Education","Higher education outputs and quality","El Salvador",21.31558846,117
"Information and Communications Technology","ICT inputs","El Salvador",49.60737228,93
"Information and Communications Technology","ICT outputs","El Salvador",30.44674602,104
"Research, Development and Innovation","Innovation in production","El Salvador",19.51195662,88
"Pre-University Education","Knowledge capital","El Salvador",34.01193896,124
"Economy","Knowledge competitiveness","El Salvador",38.18701328,108
"General Enabling Environment","Political and institutional","El Salvador",43.38321734,81
"Research, Development and Innovation","Research and development","El Salvador",9.247205491,123
"Research, Development and Innovation","Social innovation","El Salvador",25.44176813,63
"General Enabling Environment","Socio-economic","El Salvador",51.54561362,88
"Economy","Economic openness","Estonia",56.17990594,21
"Pre-University Education","Educational enabling environment","Estonia",59.23925492,63
"Technical and Vocational Education and Training","Features of the labour market","Estonia",44.82245472,90
"Economy","Financing and value added","Estonia",50.72763677,35
"Technical and Vocational Education and Training","Formation and professional training","Estonia",61.00312315,26
"General Enabling Environment","Health and environment","Estonia",76.0099098,54
"Higher Education","Higher education inputs","Estonia",62.72453216,11
"Higher Education","Higher education outputs and quality","Estonia",47.57616467,36
"Information and Communications Technology","ICT inputs","Estonia",80.5191898,12
"Information and Communications Technology","ICT outputs","Estonia",71.37473574,23
"Research, Development and Innovation","Innovation in production","Estonia",31.02244022,49
"Pre-University Education","Knowledge capital","Estonia",72.52307238,11
"Economy","Knowledge competitiveness","Estonia",62.65458793,18
"General Enabling Environment","Political and institutional","Estonia",81.52636454,19
"Research, Development and Innovation","Research and development","Estonia",33.97845662,32
"Research, Development and Innovation","Social innovation","Estonia",44.88529868,5
"General Enabling Environment","Socio-economic","Estonia",71.37800368,14
"Economy","Economic openness","Eswatini (Kingdom of)",62.02103057,11
"Pre-University Education","Educational enabling environment","Eswatini (Kingdom of)",62.66630438,51
"Technical and Vocational Education and Training","Features of the labour market","Eswatini (Kingdom of)",47.15303155,82
"Economy","Financing and value added","Eswatini (Kingdom of)",45.5855116,51
"Technical and Vocational Education and Training","Formation and professional training","Eswatini (Kingdom of)",43.98210819,92
"General Enabling Environment","Health and environment","Eswatini (Kingdom of)",49.48582581,122
"Higher Education","Higher education inputs","Eswatini (Kingdom of)",41.61270871,92
"Higher Education","Higher education outputs and quality","Eswatini (Kingdom of)",16.51254435,127
"Information and Communications Technology","ICT inputs","Eswatini (Kingdom of)",15.87810047,135
"Information and Communications Technology","ICT outputs","Eswatini (Kingdom of)",18.96212563,127
"Research, Development and Innovation","Innovation in production","Eswatini (Kingdom of)",12.771244,120
"Pre-University Education","Knowledge capital","Eswatini (Kingdom of)",53.33878898,75
"Economy","Knowledge competitiveness","Eswatini (Kingdom of)",28.57429536,131
"General Enabling Environment","Political and institutional","Eswatini (Kingdom of)",34.21571981,109
"Research, Development and Innovation","Research and development","Eswatini (Kingdom of)",9.622950308,120
"Research, Development and Innovation","Social innovation","Eswatini (Kingdom of)",8.905321272,121
"General Enabling Environment","Socio-economic","Eswatini (Kingdom of)",37.89456551,122
"Economy","Economic openness","Ethiopia",20.98957022,128
"Pre-University Education","Educational enabling environment","Ethiopia",19.75194903,134
"Technical and Vocational Education and Training","Features of the labour market","Ethiopia",43.54846284,95
"Economy","Financing and value added","Ethiopia",28.68134357,108
"Technical and Vocational Education and Training","Formation and professional training","Ethiopia",41.31671312,105
"General Enabling Environment","Health and environment","Ethiopia",52.89590431,117
"Higher Education","Higher education inputs","Ethiopia",42.83206268,83
"Higher Education","Higher education outputs and quality","Ethiopia",19.64913611,119
"Information and Communications Technology","ICT inputs","Ethiopia",31.13314018,121
"Information and Communications Technology","ICT outputs","Ethiopia",21.1574266,125
"Research, Development and Innovation","Innovation in production","Ethiopia",7.357480446,133
"Pre-University Education","Knowledge capital","Ethiopia",21.17138107,133
"Economy","Knowledge competitiveness","Ethiopia",36.53282963,115
"General Enabling Environment","Political and institutional","Ethiopia",29.04748397,118
"Research, Development and Innovation","Research and development","Ethiopia",17.15678612,75
"Research, Development and Innovation","Social innovation","Ethiopia",11.12789232,116
"General Enabling Environment","Socio-economic","Ethiopia",48.80015527,94
"Economy","Economic openness","Finland",58.55925468,16
"Pre-University Education","Educational enabling environment","Finland",58.74983522,65
"Technical and Vocational Education and Training","Features of the labour market","Finland",72.55194077,13
"Economy","Financing and value added","Finland",59.85612993,12
"Technical and Vocational Education and Training","Formation and professional training","Finland",86.49834401,2
"General Enabling Environment","Health and environment","Finland",83.94460145,17
"Higher Education","Higher education inputs","Finland",61.61740853,13
"Higher Education","Higher education outputs and quality","Finland",53.94776698,21
"Information and Communications Technology","ICT inputs","Finland",77.56894419,16
"Information and Communications Technology","ICT outputs","Finland",77.71987038,12
"Research, Development and Innovation","Innovation in production","Finland",64.28294661,8
"Pre-University Education","Knowledge capital","Finland",80.16095745,3
"Economy","Knowledge competitiveness","Finland",67.45372376,9
"General Enabling Environment","Political and institutional","Finland",94.88046629,3
"Research, Development and Innovation","Research and development","Finland",56.96034111,11
"Research, Development and Innovation","Social innovation","Finland",33.41067326,33
"General Enabling Environment","Socio-economic","Finland",75.09111776,6
"Economy","Economic openness","France",50.76811902,37
"Pre-University Education","Educational enabling environment","France",63.91717204,45
"Technical and Vocational Education and Training","Features of the labour market","France",61.5294112,34
"Economy","Financing and value added","France",49.83955063,37
"Technical and Vocational Education and Training","Formation and professional training","France",48.96011267,74
"General Enabling Environment","Health and environment","France",85.43145749,9
"Higher Education","Higher education inputs","France",49.11545521,49
"Higher Education","Higher education outputs and quality","France",61.95238907,9
"Information and Communications Technology","ICT inputs","France",71.35130796,26
"Information and Communications Technology","ICT outputs","France",75.08342054,16
"Research, Development and Innovation","Innovation in production","France",59.78276564,13
"Pre-University Education","Knowledge capital","France",71.12621142,16
"Economy","Knowledge competitiveness","France",65.66597903,12
"General Enabling Environment","Political and institutional","France",75.42383181,27
"Research, Development and Innovation","Research and development","France",54.69588626,14
"Research, Development and Innovation","Social innovation","France",35.88158519,27
"General Enabling Environment","Socio-economic","France",66.66977434,32
"Economy","Economic openness","Gambia",21.42589878,127
"Pre-University Education","Educational enabling environment","Gambia",47.09558257,106
"Technical and Vocational Education and Training","Features of the labour market","Gambia",59.57742625,38
"Economy","Financing and value added","Gambia",19.90881928,129
"Technical and Vocational Education and Training","Formation and professional training","Gambia",20.47078878,135
"General Enabling Environment","Health and environment","Gambia",50.22803046,120
"Higher Education","Higher education inputs","Gambia",19.39265238,136
"Higher Education","Higher education outputs and quality","Gambia",16.46631124,128
"Information and Communications Technology","ICT inputs","Gambia",31.40249872,120
"Information and Communications Technology","ICT outputs","Gambia",32.74406541,100
"Research, Development and Innovation","Innovation in production","Gambia",38.44870478,35
"Pre-University Education","Knowledge capital","Gambia",49.54240627,88
"Economy","Knowledge competitiveness","Gambia",37.61346459,111
"General Enabling Environment","Political and institutional","Gambia",42.42702856,83
"Research, Development and Innovation","Research and development","Gambia",21.46644862,58
"Research, Development and Innovation","Social innovation","Gambia",6.906010192,128
"General Enabling Environment","Socio-economic","Gambia",33.98998746,129
"Economy","Economic openness","Georgia",42.51078719,71
"Pre-University Education","Educational enabling environment","Georgia",62.57774109,52
"Technical and Vocational Education and Training","Features of the labour market","Georgia",41.51278104,113
"Economy","Financing and value added","Georgia",42.30125277,62
"Technical and Vocational Education and Training","Formation and professional training","Georgia",49.70332496,70
"General Enabling Environment","Health and environment","Georgia",73.20333947,68
"Higher Education","Higher education inputs","Georgia",50.49631632,40
"Higher Education","Higher education outputs and quality","Georgia",31.07675625,87
"Information and Communications Technology","ICT inputs","Georgia",65.44703313,48
"Information and Communications Technology","ICT outputs","Georgia",41.67471925,77
"Research, Development and Innovation","Innovation in production","Georgia",30.66414432,51
"Pre-University Education","Knowledge capital","Georgia",56.81378805,61
"Economy","Knowledge competitiveness","Georgia",54.09589291,43
"General Enabling Environment","Political and institutional","Georgia",58.47047643,56
"Research, Development and Innovation","Research and development","Georgia",15.89010772,82
"Research, Development and Innovation","Social innovation","Georgia",35.37664257,29
"General Enabling Environment","Socio-economic","Georgia",55.66443959,74
"Economy","Economic openness","Germany",52.71168623,30
"Pre-University Education","Educational enabling environment","Germany",58.33130685,67
"Technical and Vocational Education and Training","Features of the labour market","Germany",64.76962283,26
"Economy","Financing and value added","Germany",56.5805374,20
"Technical and Vocational Education and Training","Formation and professional training","Germany",62.70160593,21
"General Enabling Environment","Health and environment","Germany",81.89209865,28
"Higher Education","Higher education inputs","Germany",64.81972586,7
"Higher Education","Higher education outputs and quality","Germany",56.54969424,16
"Information and Communications Technology","ICT inputs","Germany",76.88151147,18
"Information and Communications Technology","ICT outputs","Germany",78.37048513,11
"Research, Development and Innovation","Innovation in production","Germany",64.85350208,7
"Pre-University Education","Knowledge capital","Germany",52.03008762,79
"Economy","Knowledge competitiveness","Germany",64.8880115,14
"General Enabling Environment","Political and institutional","Germany",83.52320099,18
"Research, Development and Innovation","Research and development","Germany",65.30599559,5
"Research, Development and Innovation","Social innovation","Germany",29.86426548,43
"General Enabling Environment","Socio-economic","Germany",72.15334504,11
"Economy","Economic openness","Ghana",43.01220421,66
"Pre-University Education","Educational enabling environment","Ghana",55.56998552,86
"Technical and Vocational Education and Training","Features of the labour market","Ghana",52.70378743,59
"Economy","Financing and value added","Ghana",26.46244408,112
"Technical and Vocational Education and Training","Formation and professional training","Ghana",43.62328747,95
"General Enabling Environment","Health and environment","Ghana",55.45026473,114
"Higher Education","Higher education inputs","Ghana",37.00726784,109
"Higher Education","Higher education outputs and quality","Ghana",35.1015452,79
"Information and Communications Technology","ICT inputs","Ghana",47.0493423,98
"Information and Communications Technology","ICT outputs","Ghana",38.20257467,91
"Research, Development and Innovation","Innovation in production","Ghana",12.12031896,122
"Pre-University Education","Knowledge capital","Ghana",35.50585766,119
"Economy","Knowledge competitiveness","Ghana",48.43018403,57
"General Enabling Environment","Political and institutional","Ghana",54.89029564,61
"Research, Development and Innovation","Research and development","Ghana",13.96777259,93
"Research, Development and Innovation","Social innovation","Ghana",7.514641997,124
"General Enabling Environment","Socio-economic","Ghana",48.01787607,97
"Economy","Economic openness","Greece",44.3612944,62
"Pre-University Education","Educational enabling environment","Greece",50.97051306,100
"Technical and Vocational Education and Training","Features of the labour market","Greece",56.38793097,47
"Economy","Financing and value added","Greece",35.11760739,86
"Technical and Vocational Education and Training","Formation and professional training","Greece",42.73066657,99
"General Enabling Environment","Health and environment","Greece",83.0977,23
"Higher Education","Higher education inputs","Greece",42.86786572,81
"Higher Education","Higher education outputs and quality","Greece",31.99956962,86
"Information and Communications Technology","ICT inputs","Greece",61.92041982,57
"Information and Communications Technology","ICT outputs","Greece",49.79652072,58
"Research, Development and Innovation","Innovation in production","Greece",25.07359983,71
"Pre-University Education","Knowledge capital","Greece",63.37025124,48
"Economy","Knowledge competitiveness","Greece",41.07808834,98
"General Enabling Environment","Political and institutional","Greece",58.4892357,55
"Research, Development and Innovation","Research and development","Greece",29.70309376,36
"Research, Development and Innovation","Social innovation","Greece",30.40960559,41
"General Enabling Environment","Socio-economic","Greece",54.55010312,78
"Economy","Economic openness","Guatemala",34.23154387,98
"Pre-University Education","Educational enabling environment","Guatemala",44.44882171,109
"Technical and Vocational Education and Training","Features of the labour market","Guatemala",46.94987318,84
"Economy","Financing and value added","Guatemala",36.92290234,79
"Technical and Vocational Education and Training","Formation and professional training","Guatemala",38.02361404,113
"General Enabling Environment","Health and environment","Guatemala",74.17921784,63
"Higher Education","Higher education inputs","Guatemala",32.18354457,123
"Higher Education","Higher education outputs and quality","Guatemala",19.63844679,120
"Information and Communications Technology","ICT inputs","Guatemala",55.44357142,77
"Information and Communications Technology","ICT outputs","Guatemala",39.25495676,85
"Research, Development and Innovation","Innovation in production","Guatemala",14.70905296,108
"Pre-University Education","Knowledge capital","Guatemala",38.74247115,114
"Economy","Knowledge competitiveness","Guatemala",40.17383743,104
"General Enabling Environment","Political and institutional","Guatemala",36.27012761,104
"Research, Development and Innovation","Research and development","Guatemala",10.29165297,117
"Research, Development and Innovation","Social innovation","Guatemala",12.23980847,113
"General Enabling Environment","Socio-economic","Guatemala",47.00705529,101
"Economy","Economic openness","Guinea",34.95943653,94
"Pre-University Education","Educational enabling environment","Guinea",23.71539225,133
"Technical and Vocational Education and Training","Features of the labour market","Guinea",44.68942118,91
"Economy","Financing and value added","Guinea",25.70900637,114
"Technical and Vocational Education and Training","Formation and professional training","Guinea",38.54755633,111
"General Enabling Environment","Health and environment","Guinea",39.34104186,130
"Higher Education","Higher education inputs","Guinea",34.20558098,113
"Higher Education","Higher education outputs and quality","Guinea",38.12158029,63
"Information and Communications Technology","ICT inputs","Guinea",30.94030063,123
"Information and Communications Technology","ICT outputs","Guinea",35.43003263,93
"Research, Development and Innovation","Innovation in production","Guinea",29.14307005,53
"Pre-University Education","Knowledge capital","Guinea",25.62513408,128
"Economy","Knowledge competitiveness","Guinea",43.62872817,85
"General Enabling Environment","Political and institutional","Guinea",25.6279684,124
"Research, Development and Innovation","Research and development","Guinea",6.580175892,134
"Research, Development and Innovation","Social innovation","Guinea",5.322835047,134
"General Enabling Environment","Socio-economic","Guinea",11.39881476,135
"Economy","Economic openness","Guyana",34.29932047,97
"Pre-University Education","Educational enabling environment","Guyana",56.27246309,81
"Technical and Vocational Education and Training","Features of the labour market","Guyana",68.67025185,15
"Economy","Financing and value added","Guyana",30.27420496,104
"Technical and Vocational Education and Training","Formation and professional training","Guyana",38.25042685,112
"General Enabling Environment","Health and environment","Guyana",59.16673676,110
"Higher Education","Higher education inputs","Guyana",42.83606886,82
"Higher Education","Higher education outputs and quality","Guyana",22.54969447,115
"Information and Communications Technology","ICT inputs","Guyana",46.40508546,101
"Information and Communications Technology","ICT outputs","Guyana",33.7604717,98
"Research, Development and Innovation","Innovation in production","Guyana",40.0516812,30
"Pre-University Education","Knowledge capital","Guyana",65.40984207,39
"Economy","Knowledge competitiveness","Guyana",43.23173087,89
"General Enabling Environment","Political and institutional","Guyana",44.23325476,80
"Research, Development and Innovation","Research and development","Guyana",11.16216474,113
"Research, Development and Innovation","Social innovation","Guyana",28.66009037,52
"General Enabling Environment","Socio-economic","Guyana",47.85104365,98
"Economy","Economic openness","Honduras",36.48787768,93
"Pre-University Education","Educational enabling environment","Honduras",60.10231692,59
"Technical and Vocational Education and Training","Features of the labour market","Honduras",41.78118133,111
"Economy","Financing and value added","Honduras",38.30685034,73
"Technical and Vocational Education and Training","Formation and professional training","Honduras",62.75223816,20
"General Enabling Environment","Health and environment","Honduras",76.58397765,49
"Higher Education","Higher education inputs","Honduras",45.51281598,71
"Higher Education","Higher education outputs and quality","Honduras",30.00218156,90
"Information and Communications Technology","ICT inputs","Honduras",46.74532109,100
"Information and Communications Technology","ICT outputs","Honduras",32.48541621,102
"Research, Development and Innovation","Innovation in production","Honduras",38.60185967,34
"Pre-University Education","Knowledge capital","Honduras",37.63682901,116
"Economy","Knowledge competitiveness","Honduras",42.40090306,94
"General Enabling Environment","Political and institutional","Honduras",31.15116061,113
"Research, Development and Innovation","Research and development","Honduras",9.517879576,121
"Research, Development and Innovation","Social innovation","Honduras",17.11377696,92
"General Enabling Environment","Socio-economic","Honduras",49.53178698,91
"Economy","Economic openness","Hong Kong, China (SAR)",83.49929627,1
"Pre-University Education","Educational enabling environment","Hong Kong, China (SAR)",61.0628611,58
"Technical and Vocational Education and Training","Features of the labour market","Hong Kong, China (SAR)",64.73302246,27
"Economy","Financing and value added","Hong Kong, China (SAR)",63.39130422,5
"Technical and Vocational Education and Training","Formation and professional training","Hong Kong, China (SAR)",51.31310248,62
"General Enabling Environment","Health and environment","Hong Kong, China (SAR)",83.97881663,14
"Higher Education","Higher education inputs","Hong Kong, China (SAR)",46.32327853,66
"Higher Education","Higher education outputs and quality","Hong Kong, China (SAR)",59.36077567,11
"Information and Communications Technology","ICT inputs","Hong Kong, China (SAR)",85.5418726,5
"Information and Communications Technology","ICT outputs","Hong Kong, China (SAR)",80.19438965,6
"Research, Development and Innovation","Innovation in production","Hong Kong, China (SAR)",35.59372797,37
"Pre-University Education","Knowledge capital","Hong Kong, China (SAR)",81.74533646,2
"Economy","Knowledge competitiveness","Hong Kong, China (SAR)",75.69892434,3
"General Enabling Environment","Political and institutional","Hong Kong, China (SAR)",86.56312489,15
"Research, Development and Innovation","Research and development","Hong Kong, China (SAR)",39.96765136,23
"Research, Development and Innovation","Social innovation","Hong Kong, China (SAR)",69.33186791,1
"General Enabling Environment","Socio-economic","Hong Kong, China (SAR)",73.43580247,10
"Economy","Economic openness","Hungary",63.68453631,7
"Pre-University Education","Educational enabling environment","Hungary",69.55205375,21
"Technical and Vocational Education and Training","Features of the labour market","Hungary",35.69453621,128
"Economy","Financing and value added","Hungary",47.39967675,43
"Technical and Vocational Education and Training","Formation and professional training","Hungary",46.60180708,80
"General Enabling Environment","Health and environment","Hungary",77.78102026,43
"Higher Education","Higher education inputs","Hungary",46.79586617,60
"Higher Education","Higher education outputs and quality","Hungary",48.95669983,31
"Information and Communications Technology","ICT inputs","Hungary",66.29340845,45
"Information and Communications Technology","ICT outputs","Hungary",54.68089046,44
"Research, Development and Innovation","Innovation in production","Hungary",45.59654218,25
"Pre-University Education","Knowledge capital","Hungary",66.2731543,35
"Economy","Knowledge competitiveness","Hungary",49.99259783,52
"General Enabling Environment","Political and institutional","Hungary",65.01844893,45
"Research, Development and Innovation","Research and development","Hungary",32.26850508,34
"Research, Development and Innovation","Social innovation","Hungary",25.92318979,61
"General Enabling Environment","Socio-economic","Hungary",62.69188881,41
"Economy","Economic openness","Iceland",38.17021263,81
"Pre-University Education","Educational enabling environment","Iceland",76.6316294,4
"Technical and Vocational Education and Training","Features of the labour market","Iceland",79.77339501,3
"Economy","Financing and value added","Iceland",54.70670349,24
"Technical and Vocational Education and Training","Formation and professional training","Iceland",62.34902725,22
"General Enabling Environment","Health and environment","Iceland",83.3729112,19
"Higher Education","Higher education inputs","Iceland",58.67196501,18
"Higher Education","Higher education outputs and quality","Iceland",44.94757794,44
"Information and Communications Technology","ICT inputs","Iceland",90.66753188,3
"Information and Communications Technology","ICT outputs","Iceland",72.1435286,19
"Research, Development and Innovation","Innovation in production","Iceland",49.40434108,23
"Pre-University Education","Knowledge capital","Iceland",77.2606594,6
"Economy","Knowledge competitiveness","Iceland",53.36156531,44
"General Enabling Environment","Political and institutional","Iceland",90.61543829,10
"Research, Development and Innovation","Research and development","Iceland",43.50018109,19
"Research, Development and Innovation","Social innovation","Iceland",41.43430524,12
"General Enabling Environment","Socio-economic","Iceland",79.02697463,2
"Economy","Economic openness","India",42.80699046,69
"Pre-University Education","Educational enabling environment","India",28.57432258,126
"Technical and Vocational Education and Training","Features of the labour market","India",56.59155725,46
"Economy","Financing and value added","India",37.92916197,75
"Technical and Vocational Education and Training","Formation and professional training","India",55.35361175,38
"General Enabling Environment","Health and environment","India",62.53884838,102
"Higher Education","Higher education inputs","India",42.68245576,84
"Higher Education","Higher education outputs and quality","India",38.52868922,60
"Information and Communications Technology","ICT inputs","India",59.12009121,69
"Information and Communications Technology","ICT outputs","India",43.1879223,72
"Research, Development and Innovation","Innovation in production","India",23.32173362,79
"Pre-University Education","Knowledge capital","India",53.99544755,72
"Economy","Knowledge competitiveness","India",49.28888593,55
"General Enabling Environment","Political and institutional","India",45.20884245,78
"Research, Development and Innovation","Research and development","India",30.24506369,35
"Research, Development and Innovation","Social innovation","India",20.5751903,78
"General Enabling Environment","Socio-economic","India",33.91085075,130
"Economy","Economic openness","Indonesia",40.59410257,74
"Pre-University Education","Educational enabling environment","Indonesia",57.34994411,77
"Technical and Vocational Education and Training","Features of the labour market","Indonesia",49.06748611,74
"Economy","Financing and value added","Indonesia",38.38354414,71
"Technical and Vocational Education and Training","Formation and professional training","Indonesia",41.73304149,103
"General Enabling Environment","Health and environment","Indonesia",68.08422702,86
"Higher Education","Higher education inputs","Indonesia",38.63482701,102
"Higher Education","Higher education outputs and quality","Indonesia",34.34179423,81
"Information and Communications Technology","ICT inputs","Indonesia",59.20300009,68
"Information and Communications Technology","ICT outputs","Indonesia",44.6491599,69
"Research, Development and Innovation","Innovation in production","Indonesia",16.0431421,105
"Pre-University Education","Knowledge capital","Indonesia",48.89174565,91
"Economy","Knowledge competitiveness","Indonesia",44.83349557,78
"General Enabling Environment","Political and institutional","Indonesia",49.32330877,67
"Research, Development and Innovation","Research and development","Indonesia",13.12206959,100
"Research, Development and Innovation","Social innovation","Indonesia",17.04882821,93
"General Enabling Environment","Socio-economic","Indonesia",52.19966355,87
"Economy","Economic openness","Iran (Islamic Republic of)",32.13979042,107
"Pre-University Education","Educational enabling environment","Iran (Islamic Republic of)",56.1753054,82
"Technical and Vocational Education and Training","Features of the labour market","Iran (Islamic Republic of)",45.2019242,89
"Economy","Financing and value added","Iran (Islamic Republic of)",32.85347471,95
"Technical and Vocational Education and Training","Formation and professional training","Iran (Islamic Republic of)",52.82271771,56
"General Enabling Environment","Health and environment","Iran (Islamic Republic of)",68.6259257,82
"Higher Education","Higher education inputs","Iran (Islamic Republic of)",50.01933863,42
"Higher Education","Higher education outputs and quality","Iran (Islamic Republic of)",26.0650643,106
"Information and Communications Technology","ICT inputs","Iran (Islamic Republic of)",51.70370048,87
