"Pillar","Subpillar","Country","Value","Rank"
"Educational enabling environment","School environment","Australia",NA,NA
"Educational enabling environment","School environment","Austria",94.4637381480617,13
"Educational enabling environment","School environment","Azerbaijan",93.1700575586613,20
"Educational enabling environment","School environment","Bahrain",95.6245460348628,6
"Educational enabling environment","School environment","Bangladesh",34.4588663022852,127
"Educational enabling environment","School environment","Barbados",62.0891494380824,106
"Educational enabling environment","School environment","Belarus",92.0580546412582,25
"Educational enabling environment","School environment","Belgium",93.7410700872904,17
"Educational enabling environment","School environment","Belize",65.2718243599844,102
"Educational enabling environment","School environment","Benin",42.6698202917361,124
"Educational enabling environment","School environment","Bhutan",84.0918187551178,57
"Educational enabling environment","School environment","Bolivia (Plurinational State of)",51.4336007929608,116
"Educational enabling environment","School environment","Botswana",83.655029323812,58
"Educational enabling environment","School environment","Brazil",73.5003648283233,88
"Educational enabling environment","School environment","Brunei Darussalam",88.2823586273365,42
"Educational enabling environment","School environment","Bulgaria",82.1308688824617,68
"Educational enabling environment","School environment","Burkina Faso",54.283830852717,115
"Educational enabling environment","School environment","Burundi",68.5191850027092,96
"Educational enabling environment","School environment","Cabo Verde",85.3994120043197,50
"Educational enabling environment","School environment","Cambodia",67.3859970635829,100
"Educational enabling environment","School environment","Cameroon",49.8629725618545,118
"Educational enabling environment","School environment","Canada",NA,NA
"Educational enabling environment","School environment","Chad",27.3629208438261,129
"Educational enabling environment","School environment","Chile",73.4291241897434,89
"Educational enabling environment","School environment","China",82.3609392699378,66
"Educational enabling environment","School environment","Colombia",75.1755612456877,85
"Educational enabling environment","School environment","Congo (Democratic Republic of the)",56.3774110093045,113
"Educational enabling environment","School environment","Costa Rica",89.9720048958733,39
"Educational enabling environment","School environment","Croatia",94.9196820795364,8
"Educational enabling environment","School environment","Cyprus",91.0875221673563,33
"Educational enabling environment","School environment","Czechia",82.45862528444,65
"Educational enabling environment","School environment","Côte d’Ivoire",68.2008511727093,98
"Educational enabling environment","School environment","Denmark",90.8440291530539,35
"Educational enabling environment","School environment","Dominican Republic",80.4213119464849,74
"Educational enabling environment","School environment","Ecuador",62.9849590759882,105
"Educational enabling environment","School environment","Egypt",72.4705367422002,92
"Educational enabling environment","School environment","El Salvador",70.1186861604206,95
"Educational enabling environment","School environment","Estonia",93.4192774871511,18
"Educational enabling environment","School environment","Eswatini (Kingdom of)",70.5017662721533,94
"Educational enabling environment","School environment","Ethiopia",26.4542996454411,130
"Educational enabling environment","School environment","Finland",84.5784312543695,54
"Educational enabling environment","School environment","France",81.1275965563341,73
"Educational enabling environment","School environment","Gambia",81.8802469381726,70
"Educational enabling environment","School environment","Georgia",94.8542686353226,9
"Educational enabling environment","School environment","Germany",88.2982564840086,41
"Educational enabling environment","School environment","Ghana",58.0194737855261,110
"Educational enabling environment","School environment","Greece",96.2301974061785,5
"Educational enabling environment","School environment","Guatemala",82.7290134201092,62
"Educational enabling environment","School environment","Guinea",32.8935921072983,128
"Educational enabling environment","School environment","Guyana",55.2064360066174,114
"Educational enabling environment","School environment","Honduras",68.3478246752281,97
"Educational enabling environment","School environment","Hong Kong, China (SAR)",91.6412841891463,30
"Educational enabling environment","School environment","Hungary",92.7092030057676,21
"Educational enabling environment","School environment","Iceland",96.4052130581897,4
"Educational enabling environment","School environment","India",51.1289831911968,117
"Educational enabling environment","School environment","Indonesia",78.8693930784359,79
"Educational enabling environment","School environment","Iran (Islamic Republic of)",80.2433236898979,75
"Educational enabling environment","School environment","Ireland",84.850911800858,52
"Educational enabling environment","School environment","Israel",91.8116164318987,28
"Educational enabling environment","School environment","Italy",92.060229734234,24
"Educational enabling environment","School environment","Japan",86.2901734576222,48
"Educational enabling environment","School environment","Jordan",90.891980352923,34
"Educational enabling environment","School environment","Kazakhstan",94.2968748084547,14
"Educational enabling environment","School environment","Kenya",65.3708526689577,101
"Educational enabling environment","School environment","Korea (Republic of)",82.4878121550697,64
"Educational enabling environment","School environment","Kuwait",85.4030828970192,49
"Educational enabling environment","School environment","Kyrgyzstan",79.07147581147,78
"Educational enabling environment","School environment","Lao People's Democratic Republic",81.976164436954,69
"Educational enabling environment","School environment","Latvia",95.0022811120515,7
"Educational enabling environment","School environment","Lebanon",94.5182890191608,12
"Educational enabling environment","School environment","Lesotho",64.3173562667436,104
"Educational enabling environment","School environment","Lithuania",93.3087064268585,19
"Educational enabling environment","School environment","Luxembourg",96.883063843255,2
"Educational enabling environment","School environment","Madagascar",25.9255846404982,131
"Educational enabling environment","School environment","Malawi",35.5439141043972,126
"Educational enabling environment","School environment","Malaysia",91.6037687887525,31
"Educational enabling environment","School environment","Mali",36.8384138095991,125
"Educational enabling environment","School environment","Malta",94.6767268969757,10
"Educational enabling environment","School environment","Mauritania",68.0106802292741,99
"Educational enabling environment","School environment","Mauritius",78.6795177859346,80
"Educational enabling environment","School environment","Mexico",79.5340959356047,77
"Educational enabling environment","School environment","Moldova (Republic of)",91.9867413146012,26
"Educational enabling environment","School environment","Mongolia",76.8569282695703,83
"Educational enabling environment","School environment","Morocco",81.5305199202131,71
"Educational enabling environment","School environment","Mozambique",48.9901688611276,119
"Educational enabling environment","School environment","Myanmar",75.001333004513,86
"Educational enabling environment","School environment","Namibia",80.1684505857203,76
"Educational enabling environment","School environment","Nepal",72.6779093057702,90
"Educational enabling environment","School environment","Netherlands",85.001784385544,51
"Educational enabling environment","School environment","New Zealand",83.2863643114745,59
"Educational enabling environment","School environment","North Macedonia",90.0327486718972,38
"Educational enabling environment","School environment","Norway",96.9725008136072,1
"Educational enabling environment","School environment","Oman",96.7381554316914,3
"Educational enabling environment","School environment","Pakistan",48.9403380513926,120
"Educational enabling environment","School environment","Panama",86.5699982332848,46
"Educational enabling environment","School environment","Paraguay",74.0131141100837,87
"Educational enabling environment","School environment","Peru",84.613484889682,53
"Educational enabling environment","School environment","Philippines",77.1022262706282,82
"Educational enabling environment","School environment","Poland",94.6476107426058,11
"Educational enabling environment","School environment","Portugal",91.9049424349816,27
"Educational enabling environment","School environment","Qatar",60.3941196602448,107
"Educational enabling environment","School environment","Romania",81.2225684731411,72
"Educational enabling environment","School environment","Russian Federation",84.3279318708096,56
"Educational enabling environment","School environment","Rwanda",44.9354187112782,122
"Educational enabling environment","School environment","Saudi Arabia",94.1638315375122,15
"Educational enabling environment","School environment","Senegal",60.3550079197313,108
"Educational enabling environment","School environment","Serbia",57.9977073122542,111
"Educational enabling environment","School environment","Seychelles",72.4328096898591,93
"Educational enabling environment","School environment","Singapore",92.571002197052,22
"Educational enabling environment","School environment","Slovakia",86.4832330109976,47
"Educational enabling environment","School environment","Slovenia",90.2180912401755,37
"Educational enabling environment","School environment","South Africa",64.9520321301243,103
"Educational enabling environment","School environment","Spain",88.0918542346056,44
"Educational enabling environment","School environment","Sri Lanka",72.5816238750542,91
"Educational enabling environment","School environment","Sweden",86.7358773943205,45
"Educational enabling environment","School environment","Switzerland",93.8064267157693,16
"Educational enabling environment","School environment","Syrian Arab Republic",NA,NA
"Educational enabling environment","School environment","Tajikistan",82.2553048923278,67
"Educational enabling environment","School environment","Tanzania (United Republic of)",57.9235545214207,112
"Educational enabling environment","School environment","Thailand",83.1718329770469,60
"Educational enabling environment","School environment","Togo",42.9943755314226,123
"Educational enabling environment","School environment","Tunisia",90.6909498539881,36
"Educational enabling environment","School environment","Turkey",75.7410868827407,84
"Educational enabling environment","School environment","Uganda",47.0159584533365,121
"Educational enabling environment","School environment","Ukraine",89.2210461377908,40
"Educational enabling environment","School environment","United Arab Emirates",91.7521507464851,29
"Educational enabling environment","School environment","United Kingdom",78.6273116285222,81
"Educational enabling environment","School environment","United States",82.5054506185778,63
"Educational enabling environment","School environment","Uruguay",92.3560283602072,23
"Educational enabling environment","School environment","Venezuela (Bolivarian Republic of)",NA,NA
"Educational enabling environment","School environment","Viet Nam",88.1828841400095,43
"Educational enabling environment","School environment","Zimbabwe",59.5852378627055,109
"Educational enabling environment","Early childhood education","Albania",66.2394220569263,29
"Educational enabling environment","Early childhood education","Algeria",53.8110263841433,53
"Educational enabling environment","Early childhood education","Angola",6.25519114868689,127
"Educational enabling environment","Early childhood education","Armenia",60.0732077998237,41
"Educational enabling environment","Early childhood education","Australia",38.5763692742591,87
"Educational enabling environment","Early childhood education","Austria",33.2542355506494,95
"Educational enabling environment","Early childhood education","Azerbaijan",45.5318287457696,68
"Educational enabling environment","Early childhood education","Bahrain",53.9792340319239,52
"Educational enabling environment","Early childhood education","Bangladesh",21.6666268976415,104
"Educational enabling environment","Early childhood education","Barbados",70.4668243984111,19
"Educational enabling environment","Early childhood education","Belarus",47.6340537288407,64
"Educational enabling environment","Early childhood education","Belgium",73.8668434048103,7
"Educational enabling environment","Early childhood education","Belize",40.3171513193805,83
"Educational enabling environment","Early childhood education","Benin",6.65679941893378,126
"Educational enabling environment","Early childhood education","Bhutan",18.2011286829809,110
"Educational enabling environment","Early childhood education","Bolivia (Plurinational State of)",64.0864696616033,34
"Educational enabling environment","Early childhood education","Botswana",17.5167527333205,111
"Educational enabling environment","Early childhood education","Brazil",35.0910644544653,92
"Educational enabling environment","Early childhood education","Brunei Darussalam",67.3506784985224,25
"Educational enabling environment","Early childhood education","Bulgaria",41.4447613948177,79
"Educational enabling environment","Early childhood education","Burkina Faso",3.6664743876582,128
"Educational enabling environment","Early childhood education","Burundi",10.4566073232661,120
"Educational enabling environment","Early childhood education","Cabo Verde",61.3786463351334,38
"Educational enabling environment","Early childhood education","Cambodia",12.8933520393661,116
"Educational enabling environment","Early childhood education","Cameroon",22.0537751306614,103
"Educational enabling environment","Early childhood education","Canada",18.6010003422673,109
"Educational enabling environment","Early childhood education","Chad",0.7359,133
"Educational enabling environment","Early childhood education","Chile",61.9881760709117,36
"Educational enabling environment","Early childhood education","China",72.9092680279032,12
"Educational enabling environment","Early childhood education","Colombia",88.58542,2
"Educational enabling environment","Early childhood education","Congo (Democratic Republic of the)",1.89602043232862,131
"Educational enabling environment","Early childhood education","Costa Rica",57.6881703441778,42
"Educational enabling environment","Early childhood education","Croatia",28.290930765316,98
"Educational enabling environment","Early childhood education","Cyprus",27.3795116758687,99
"Educational enabling environment","Early childhood education","Czechia",57.3233047266311,43
"Educational enabling environment","Early childhood education","Côte d’Ivoire",8.88445634550552,122
"Educational enabling environment","Early childhood education","Denmark",42.8480843713547,75
"Educational enabling environment","Early childhood education","Dominican Republic",49.0164560324856,60
"Educational enabling environment","Early childhood education","Ecuador",68.8824998153322,21
"Educational enabling environment","Early childhood education","Egypt",42.2610718188915,78
"Educational enabling environment","Early childhood education","El Salvador",54.2568517609257,51
"Educational enabling environment","Early childhood education","Estonia",36.4005560851147,90
"Educational enabling environment","Early childhood education","Eswatini (Kingdom of)",48.803809084256,61
"Educational enabling environment","Early childhood education","Ethiopia",15.480530580034,112
"Educational enabling environment","Early childhood education","Finland",38.1284812731103,88
"Educational enabling environment","Early childhood education","France",57.0879572525195,46
"Educational enabling environment","Early childhood education","Gambia",31.87509,96
"Educational enabling environment","Early childhood education","Georgia",NA,NA
"Educational enabling environment","Early childhood education","Germany",39.4272053722644,84
"Educational enabling environment","Early childhood education","Ghana",57.2855555915864,45
"Educational enabling environment","Early childhood education","Greece",20.7334064105023,106
"Educational enabling environment","Early childhood education","Guatemala",11.4855535437925,119
"Educational enabling environment","Early childhood education","Guinea",12.7186828872546,117
"Educational enabling environment","Early childhood education","Guyana",75.6572094113117,5
"Educational enabling environment","Early childhood education","Honduras",50.7780821047864,55
"Educational enabling environment","Early childhood education","Hong Kong, China (SAR)",57.3156081973038,44
"Educational enabling environment","Early childhood education","Hungary",65.8285526348397,31
"Educational enabling environment","Early childhood education","Iceland",68.4910338466995,23
"Educational enabling environment","Early childhood education","India",6.94817229985396,125
"Educational enabling environment","Early childhood education","Indonesia",51.0994267217941,54
"Educational enabling environment","Early childhood education","Iran (Islamic Republic of)",40.7770383856326,80
"Educational enabling environment","Early childhood education","Ireland",83.287,3
"Educational enabling environment","Early childhood education","Israel",72.6510081067391,14
"Educational enabling environment","Early childhood education","Italy",50.5502773875914,57
"Educational enabling environment","Early childhood education","Japan",46.6404133123215,66
"Educational enabling environment","Early childhood education","Jordan",33.8913012150415,94
"Educational enabling environment","Early childhood education","Kazakhstan",44.7073811110736,71
"Educational enabling environment","Early childhood education","Kenya",40.65738905135,82
"Educational enabling environment","Early childhood education","Korea (Republic of)",48.666796427832,62
"Educational enabling environment","Early childhood education","Kuwait",49.4905021137404,59
"Educational enabling environment","Early childhood education","Kyrgyzstan",45.3724016623223,69
"Educational enabling environment","Early childhood education","Lao People's Democratic Republic",38.9417781248504,86
"Educational enabling environment","Early childhood education","Latvia",70.6224915959172,18
"Educational enabling environment","Early childhood education","Lebanon",72.7251768856483,13
"Educational enabling environment","Early childhood education","Lesotho",20.6433635398556,107
"Educational enabling environment","Early childhood education","Lithuania",64.6835909253628,32
"Educational enabling environment","Early childhood education","Luxembourg",74.7183442591256,6
"Educational enabling environment","Early childhood education","Madagascar",21.009872701253,105
"Educational enabling environment","Early childhood education","Malawi",90.3303816744767,1
"Educational enabling environment","Early childhood education","Malaysia",68.9389087661545,20
"Educational enabling environment","Early childhood education","Mali",3.02275750427073,130
"Educational enabling environment","Early childhood education","Malta",80.0469325226902,4
"Educational enabling environment","Early childhood education","Mauritania",1.53677454964188,132
"Educational enabling environment","Early childhood education","Mauritius",68.7551429094935,22
"Educational enabling environment","Early childhood education","Mexico",56.0202594695529,47
"Educational enabling environment","Early childhood education","Moldova (Republic of)",66.3702137420409,27
"Educational enabling environment","Early childhood education","Mongolia",55.5133085873822,49
"Educational enabling environment","Early childhood education","Morocco",42.6345350053696,76
"Educational enabling environment","Early childhood education","Mozambique",NA,NA
"Educational enabling environment","Early childhood education","Myanmar",20.13414,108
"Educational enabling environment","Early childhood education","Namibia",45.7313435936452,67
"Educational enabling environment","Early childhood education","Nepal",42.4986731611983,77
"Educational enabling environment","Early childhood education","Netherlands",50.7296347850078,56
"Educational enabling environment","Early childhood education","New Zealand",64.4629512902272,33
"Educational enabling environment","Early childhood education","North Macedonia",13.9464372651601,113
"Educational enabling environment","Early childhood education","Norway",73.1480285089673,9
"Educational enabling environment","Early childhood education","Oman",23.6965477231614,102
"Educational enabling environment","Early childhood education","Pakistan",72.2849392129092,15
"Educational enabling environment","Early childhood education","Panama",45.1154923587607,70
"Educational enabling environment","Early childhood education","Paraguay",48.0063861219504,63
"Educational enabling environment","Early childhood education","Peru",62.5983692403596,35
"Educational enabling environment","Early childhood education","Philippines",71.669977823016,16
"Educational enabling environment","Early childhood education","Poland",43.5856412548756,72
"Educational enabling environment","Early childhood education","Portugal",50.5083378252402,58
"Educational enabling environment","Early childhood education","Qatar",35.0450839841174,93
"Educational enabling environment","Early childhood education","Romania",60.8945589092708,39
"Educational enabling environment","Early childhood education","Russian Federation",43.2785953920944,74
"Educational enabling environment","Early childhood education","Rwanda",26.6399943465087,100
"Educational enabling environment","Early childhood education","Saudi Arabia",8.1071956950746,123
"Educational enabling environment","Early childhood education","Senegal",13.1629383869452,115
"Educational enabling environment","Early childhood education","Serbia",61.6967252130724,37
"Educational enabling environment","Early childhood education","Seychelles",72.9395491431822,11
"Educational enabling environment","Early childhood education","Singapore",NA,NA
"Educational enabling environment","Early childhood education","Slovakia",73.3979489385497,8
"Educational enabling environment","Early childhood education","Slovenia",68.0782143346609,24
"Educational enabling environment","Early childhood education","South Africa",43.4104590028584,73
"Educational enabling environment","Early childhood education","Spain",36.713184105819,89
"Educational enabling environment","Early childhood education","Sri Lanka",72.9592435278578,10
"Educational enabling environment","Early childhood education","Sweden",47.3248771884491,65
"Educational enabling environment","Early childhood education","Switzerland",55.785085941588,48
"Educational enabling environment","Early childhood education","Syrian Arab Republic",13.803680400619,114
"Educational enabling environment","Early childhood education","Tajikistan",3.27961016019679,129
"Educational enabling environment","Early childhood education","Tanzania (United Republic of)",40.7698658489285,81
"Educational enabling environment","Early childhood education","Thailand",66.2991819061884,28
"Educational enabling environment","Early childhood education","Togo",11.8897082999079,118
"Educational enabling environment","Early childhood education","Tunisia",54.6208750719865,50
"Educational enabling environment","Early childhood education","Turkey",10.1692187419403,121
"Educational enabling environment","Early childhood education","Uganda",7.31168655471224,124
"Educational enabling environment","Early childhood education","Ukraine",67.1888037280075,26
"Educational enabling environment","Early childhood education","United Arab Emirates",70.7666816911169,17
"Educational enabling environment","Early childhood education","United Kingdom",35.9119895348943,91
"Educational enabling environment","Early childhood education","United States",39.1229206937334,85
"Educational enabling environment","Early childhood education","Uruguay",66.2122217826942,30
"Educational enabling environment","Early childhood education","Venezuela (Bolivarian Republic of)",60.4040559103565,40
"Educational enabling environment","Early childhood education","Viet Nam",30.6252076663302,97
"Educational enabling environment","Early childhood education","Zimbabwe",25.0025831748325,101
"Educational enabling environment","Expenditure on education","Albania",42.7470045092817,75
"Educational enabling environment","Expenditure on education","Algeria",NA,NA
"Educational enabling environment","Expenditure on education","Angola",NA,NA
"Educational enabling environment","Expenditure on education","Armenia",28.3241469600755,110
"Educational enabling environment","Expenditure on education","Australia",47.6892283401764,46
"Educational enabling environment","Expenditure on education","Austria",46.1622334915096,55
"Educational enabling environment","Expenditure on education","Azerbaijan",91.2273321602152,2
"Educational enabling environment","Expenditure on education","Bahrain",40.2357315898906,85
"Educational enabling environment","Expenditure on education","Bangladesh",26.7592949125565,114
"Educational enabling environment","Expenditure on education","Barbados",49.2033333521831,40
"Educational enabling environment","Expenditure on education","Belarus",61.0796408549183,13
"Educational enabling environment","Expenditure on education","Belgium",57.6252115512578,21
"Educational enabling environment","Expenditure on education","Belize",60.5125252876053,15
"Educational enabling environment","Expenditure on education","Benin",47.2555287744152,50
"Educational enabling environment","Expenditure on education","Bhutan",49.3390200614298,38
"Educational enabling environment","Expenditure on education","Bolivia (Plurinational State of)",47.3271481239128,49
"Educational enabling environment","Expenditure on education","Botswana",56.593288005358,23
"Educational enabling environment","Expenditure on education","Brazil",59.4341445138002,16
"Educational enabling environment","Expenditure on education","Brunei Darussalam",44.2406760046448,62
"Educational enabling environment","Expenditure on education","Bulgaria",37.6059544826704,93
"Educational enabling environment","Expenditure on education","Burkina Faso",43.7350642539773,65
"Educational enabling environment","Expenditure on education","Burundi",65.2541599492976,9
"Educational enabling environment","Expenditure on education","Cabo Verde",57.6453775417831,20
"Educational enabling environment","Expenditure on education","Cambodia",42.7474889562215,74
"Educational enabling environment","Expenditure on education","Cameroon",31.5717291312835,102
"Educational enabling environment","Expenditure on education","Canada",46.7748157398227,52
"Educational enabling environment","Expenditure on education","Chad",15.4333121804165,124
"Educational enabling environment","Expenditure on education","Chile",49.9127969879208,36
"Educational enabling environment","Expenditure on education","China",NA,NA
"Educational enabling environment","Expenditure on education","Colombia",40.1376929278103,87
"Educational enabling environment","Expenditure on education","Congo (Democratic Republic of the)",18.9970284762629,120
"Educational enabling environment","Expenditure on education","Costa Rica",65.5845757166971,8
"Educational enabling environment","Expenditure on education","Croatia",100,1
"Educational enabling environment","Expenditure on education","Cyprus",62.7063963962146,10
"Educational enabling environment","Expenditure on education","Czechia",42.0548425072988,79
"Educational enabling environment","Expenditure on education","Côte d’Ivoire",54.5127530492669,28
"Educational enabling environment","Expenditure on education","Denmark",62.2671434363063,11
"Educational enabling environment","Expenditure on education","Dominican Republic",37.5699845126517,94
"Educational enabling environment","Expenditure on education","Ecuador",19.2292032514605,119
"Educational enabling environment","Expenditure on education","Egypt",27.9794757581828,111
"Educational enabling environment","Expenditure on education","El Salvador",44.6728721046516,60
"Educational enabling environment","Expenditure on education","Estonia",42.2272693378845,78
"Educational enabling environment","Expenditure on education","Eswatini (Kingdom of)",71.7068544907821,6
"Educational enabling environment","Expenditure on education","Ethiopia",16.1055507639694,123
"Educational enabling environment","Expenditure on education","Finland",50.9389720796548,33
"Educational enabling environment","Expenditure on education","France",48.3453574317392,42
"Educational enabling environment","Expenditure on education","Gambia",17.7493248610028,121
"Educational enabling environment","Expenditure on education","Georgia",14.1629497760918,125
"Educational enabling environment","Expenditure on education","Germany",41.7370346140496,80
"Educational enabling environment","Expenditure on education","Ghana",49.3223980225888,39
"Educational enabling environment","Expenditure on education","Greece",28.4366465250145,109
"Educational enabling environment","Expenditure on education","Guatemala",36.4734363851142,95
"Educational enabling environment","Expenditure on education","Guinea",26.4431565124215,115
"Educational enabling environment","Expenditure on education","Guyana",28.7943842279714,108
"Educational enabling environment","Expenditure on education","Honduras",61.7204074900253,12
"Educational enabling environment","Expenditure on education","Hong Kong, China (SAR)",20.816105829047,118
"Educational enabling environment","Expenditure on education","Hungary",40.4015815417058,84
"Educational enabling environment","Expenditure on education","Iceland",59.1821472268647,18
"Educational enabling environment","Expenditure on education","India",27.181557091489,113
"Educational enabling environment","Expenditure on education","Indonesia",34.4465467238954,99
"Educational enabling environment","Expenditure on education","Iran (Islamic Republic of)",43.1706784894736,70
"Educational enabling environment","Expenditure on education","Ireland",44.3029479372041,61
"Educational enabling environment","Expenditure on education","Israel",51.2542827238441,32
"Educational enabling environment","Expenditure on education","Italy",46.9433550877322,51
"Educational enabling environment","Expenditure on education","Japan",32.7533485993796,100
"Educational enabling environment","Expenditure on education","Jordan",42.4348864176956,77
"Educational enabling environment","Expenditure on education","Kazakhstan",38.598381938452,91
"Educational enabling environment","Expenditure on education","Kenya",54.6924590938923,26
"Educational enabling environment","Expenditure on education","Korea (Republic of)",35.9930530120229,96
"Educational enabling environment","Expenditure on education","Kuwait",30.7817645288505,103
"Educational enabling environment","Expenditure on education","Kyrgyzstan",39.5973643153854,88
"Educational enabling environment","Expenditure on education","Lao People's Democratic Republic",27.8978786455935,112
"Educational enabling environment","Expenditure on education","Latvia",44.2057610329302,63
"Educational enabling environment","Expenditure on education","Lebanon",47.7248804090917,45
"Educational enabling environment","Expenditure on education","Lesotho",73.1551555940498,5
"Educational enabling environment","Expenditure on education","Lithuania",39.1121359414756,89
"Educational enabling environment","Expenditure on education","Luxembourg",40.7617354518763,83
"Educational enabling environment","Expenditure on education","Madagascar",42.6386271784828,76
"Educational enabling environment","Expenditure on education","Malawi",56.9659866141135,22
"Educational enabling environment","Expenditure on education","Malaysia",50.3376128773807,35
"Educational enabling environment","Expenditure on education","Mali",47.6555232361601,48
"Educational enabling environment","Expenditure on education","Malta",43.7044659575164,67
"Educational enabling environment","Expenditure on education","Mauritania",23.4010230929953,117
"Educational enabling environment","Expenditure on education","Mauritius",46.1688451998246,54
"Educational enabling environment","Expenditure on education","Mexico",52.9797432038844,31
"Educational enabling environment","Expenditure on education","Moldova (Republic of)",46.1576849961564,56
"Educational enabling environment","Expenditure on education","Mongolia",40.1742449435632,86
"Educational enabling environment","Expenditure on education","Morocco",69.7641553606643,7
"Educational enabling environment","Expenditure on education","Mozambique",48.311597324413,43
"Educational enabling environment","Expenditure on education","Myanmar",12.709266044594,127
"Educational enabling environment","Expenditure on education","Namibia",29.0289968896043,107
"Educational enabling environment","Expenditure on education","Nepal",43.0214924515437,73
"Educational enabling environment","Expenditure on education","Netherlands",43.0695882539622,72
"Educational enabling environment","Expenditure on education","New Zealand",43.733121059019,66
"Educational enabling environment","Expenditure on education","North Macedonia",NA,NA
"Educational enabling environment","Expenditure on education","Norway",46.2770195230166,53
"Educational enabling environment","Expenditure on education","Oman",56.2149887180645,24
"Educational enabling environment","Expenditure on education","Pakistan",11.8905851815649,128
"Educational enabling environment","Expenditure on education","Panama",13.8636500266674,126
"Educational enabling environment","Expenditure on education","Paraguay",41.5858587420423,81
"Educational enabling environment","Expenditure on education","Peru",29.9844890375044,106
"Educational enabling environment","Expenditure on education","Philippines",38.0925491252263,92
"Educational enabling environment","Expenditure on education","Poland",47.6884487624243,47
"Educational enabling environment","Expenditure on education","Portugal",53.6177020760052,29
"Educational enabling environment","Expenditure on education","Qatar",10.1677102918398,129
"Educational enabling environment","Expenditure on education","Romania",35.3733994068859,97
"Educational enabling environment","Expenditure on education","Russian Federation",73.6307879401232,4
"Educational enabling environment","Expenditure on education","Rwanda",34.6821279872304,98
"Educational enabling environment","Expenditure on education","Saudi Arabia",NA,NA
"Educational enabling environment","Expenditure on education","Senegal",50.6191291987376,34
"Educational enabling environment","Expenditure on education","Serbia",48.6249993890327,41
"Educational enabling environment","Expenditure on education","Seychelles",44.1034942000609,64
"Educational enabling environment","Expenditure on education","Singapore",30.2067517878897,105
"Educational enabling environment","Expenditure on education","Slovakia",43.4442778419025,69
"Educational enabling environment","Expenditure on education","Slovenia",39.0180304423763,90
"Educational enabling environment","Expenditure on education","South Africa",58.6959310279669,19
"Educational enabling environment","Expenditure on education","Spain",45.7366322077963,57
"Educational enabling environment","Expenditure on education","Sri Lanka",16.3243231829719,122
"Educational enabling environment","Expenditure on education","Sweden",55.2690103975623,25
"Educational enabling environment","Expenditure on education","Switzerland",43.6938379218576,68
"Educational enabling environment","Expenditure on education","Syrian Arab Republic",45.414891429121,58
"Educational enabling environment","Expenditure on education","Tajikistan",43.1078804633349,71
"Educational enabling environment","Expenditure on education","Tanzania (United Republic of)",25.2876371538667,116
"Educational enabling environment","Expenditure on education","Thailand",49.8111905739424,37
"Educational enabling environment","Expenditure on education","Togo",60.8143858547082,14
"Educational enabling environment","Expenditure on education","Tunisia",78.4382457243714,3
"Educational enabling environment","Expenditure on education","Turkey",NA,NA
"Educational enabling environment","Expenditure on education","Uganda",30.2473748759086,104
"Educational enabling environment","Expenditure on education","Ukraine",41.148044468774,82
"Educational enabling environment","Expenditure on education","United Arab Emirates",NA,NA
"Educational enabling environment","Expenditure on education","United Kingdom",59.2391962606703,17
"Educational enabling environment","Expenditure on education","United States",45.2908829594397,59
"Educational enabling environment","Expenditure on education","Uruguay",47.7521508165621,44
"Educational enabling environment","Expenditure on education","Venezuela (Bolivarian Republic of)",54.6363392507253,27
"Educational enabling environment","Expenditure on education","Viet Nam",32.2581545189131,101
"Educational enabling environment","Expenditure on education","Zimbabwe",53.4037859731111,30
"Higher education inputs","Expenditure","Albania",17.7126730489398,92
"Higher education inputs","Expenditure","Algeria",NA,125
"Higher education inputs","Expenditure","Angola",NA,125
"Higher education inputs","Expenditure","Armenia",7.25266809600892,116
"Higher education inputs","Expenditure","Australia",44.6512412855541,34
"Higher education inputs","Expenditure","Austria",69.3676599318043,7
"Higher education inputs","Expenditure","Azerbaijan",12.8201043517698,101
"Higher education inputs","Expenditure","Bahrain",27.7038095552127,65
"Higher education inputs","Expenditure","Bangladesh",7.38358880286781,115
"Higher education inputs","Expenditure","Barbados",50.6366108580872,24
"Higher education inputs","Expenditure","Belarus",21.3856216897819,80
"Higher education inputs","Expenditure","Belgium",56.6104113548635,14
"Higher education inputs","Expenditure","Belize",18.2477054631511,89
"Higher education inputs","Expenditure","Benin",21.7641494089284,79
"Higher education inputs","Expenditure","Bhutan",25.0661099248138,73
"Higher education inputs","Expenditure","Bolivia (Plurinational State of)",75.5190952625541,6
"Higher education inputs","Expenditure","Botswana",88.3070423577876,1
"Higher education inputs","Expenditure","Brazil",33.6493783630871,48
"Higher education inputs","Expenditure","Brunei Darussalam",57.6170543572483,13
"Higher education inputs","Expenditure","Bulgaria",16.694728903935,96
"Higher education inputs","Expenditure","Burkina Faso",30.1642325794473,58
"Higher education inputs","Expenditure","Burundi",31.0749222635492,54
"Higher education inputs","Expenditure","Cabo Verde",23.2924384435715,75
"Higher education inputs","Expenditure","Cambodia",0,125
"Higher education inputs","Expenditure","Cameroon",5.52253318965594,120
"Higher education inputs","Expenditure","Canada",61.8842095543307,12
"Higher education inputs","Expenditure","Chad",18.54318556582,88
"Higher education inputs","Expenditure","Chile",35.6783018546069,43
"Higher education inputs","Expenditure","China",NA,125
"Higher education inputs","Expenditure","Colombia",25.2789206147081,72
"Higher education inputs","Expenditure","Congo (Democratic Republic of the)",8.70966379904939,109
